placeOfUse,entryAmount,memo,category
교촌치킨 서초점,56784,카페라떼,식비
ABC마트 강남점,73726,편의점 간식,쇼핑
세븐일레븐 홍대점,7806,스낵 구입,편의점
홈플러스 강서점,117128,스낵 구입,마트
던킨도너츠 강남역,9372,식재료 구매,카페
YES24,107736,점심 식사,여가/취미
맥도날드 신림점,2421,영화 관람,식비
요기요,76593,주유,식비
GS칼텍스 강남대로점,65781,화장품 구매,교통
하나로마트 양재,115714,생활용품 구매,마트
롯데백화점 본점,1627,카페라떼,쇼핑
다이소 신촌점,55822,치킨 세트,생활
현대백화점 무역센터점,30785,카페라떼,쇼핑
현대백화점 무역센터점,141655,도서 구매,쇼핑
설빙 신촌점,130428,옷 구매,카페
bhc치킨 대치점,31737,저녁 배달,식비
이디야커피 잠실점,112855,생활용품 구매,카페
요기요,83298,점심 식사,식비
설빙 신촌점,94345,화장품 구매,카페
메가커피 신촌점,54926,주말 장보기,카페
맘스터치 사당점,78654,카페라떼,식비
YES24,18158,생활용품 구매,여가/취미
맘스터치 사당점,132752,스낵 구입,식비
파파존스 강남점,66440,카페라떼,식비
홈플러스 강서점,32963,화장품 구매,마트
롯데백화점 본점,15064,아메리카노,쇼핑
G마켓,35612,저녁 배달,쇼핑
GS칼텍스 강남대로점,61092,카페라떼,교통
T맵택시,118246,지하철 요금,교통
롯데백화점 본점,138818,지하철 요금,쇼핑
bhc치킨 대치점,22996,도서 구매,식비
맘스터치 사당점,146588,편의점 간식,식비
SK주유소 방배점,46275,티켓 구매,교통
CU 신림점,75775,영화 관람,편의점
다이소 신촌점,145427,편의점 간식,생활
이마트 용산점,31640,주말 장보기,마트
교보문고 광화문점,83669,주말 장보기,여가/취미
하나로마트 양재,118951,스낵 구입,마트
홈플러스 강서점,137910,티켓 구매,마트
미스터피자 홍대점,78579,영화 관람,식비
쿠팡,111666,스낵 구입,쇼핑
bhc치킨 대치점,3286,식재료 구매,식비
11번가,125308,지하철 요금,쇼핑
현대백화점 무역센터점,53076,택시요금,쇼핑
GS25 강남역점,80915,티켓 구매,편의점
서울교통공사,62749,스낵 구입,교통
설빙 신촌점,46301,도서 구매,카페
배민1,67373,스낵 구입,식비
롯데백화점 본점,139147,편의점 간식,쇼핑
이디야커피 잠실점,113242,주말 장보기,카페
교보문고 광화문점,63649,옷 구매,여가/취미
하나로마트 양재,136594,스낵 구입,마트
SK주유소 방배점,136521,카페라떼,교통
ABC마트 강남점,59224,생활용품 구매,쇼핑
쿠팡이츠,11257,저녁 배달,식비
서울교통공사,98948,저녁 배달,교통
이디야커피 잠실점,26440,택시요금,카페
CU 신림점,129284,택시요금,편의점
하이패스,33555,아메리카노,교통
던킨도너츠 강남역,25605,스낵 구입,카페
카페베네 종로점,125252,옷 구매,카페
설빙 신촌점,132017,티켓 구매,카페
CGV 압구정,79786,스낵 구입,여가/취미
메가커피 신촌점,48728,화장품 구매,카페
교보문고 광화문점,33341,도서 구매,여가/취미
교촌치킨 서초점,87868,아메리카노,식비
bhc치킨 대치점,23791,주유,식비
GS25 강남역점,102505,지하철 요금,편의점
ABC마트 강남점,137598,도서 구매,쇼핑
메가박스 강남,51477,택시요금,여가/취미
교촌치킨 서초점,36572,아메리카노,식비
홈플러스 강서점,97946,스낵 구입,마트
SK주유소 방배점,148430,옷 구매,교통
T맵택시,66734,스낵 구입,교통
코스트코 양재점,137132,영화 관람,마트
던킨도너츠 강남역,91186,주유,카페
BBQ치킨 역삼점,120514,카페라떼,식비
올리브영 강남점,41051,도서 구매,쇼핑
파파존스 강남점,120441,점심 식사,식비
파파존스 강남점,91142,영화 관람,식비
메가박스 강남,118904,스낵 구입,여가/취미
하나로마트 양재,60864,옷 구매,마트
CU 신림점,82656,편의점 간식,편의점
교보문고 광화문점,136072,화장품 구매,여가/취미
홈플러스 강서점,33699,영화 관람,마트
메가커피 신촌점,16387,지하철 요금,카페
현대백화점 무역센터점,142926,카페라떼,쇼핑
롯데시네마 월드타워,96380,카페라떼,여가/취미
11번가,45271,저녁 배달,쇼핑
이디야커피 잠실점,105850,점심 식사,카페
설빙 신촌점,41486,저녁 배달,카페
쿠팡,4631,옷 구매,쇼핑
미스터피자 홍대점,58112,택시요금,식비
SK주유소 방배점,50632,저녁 배달,교통
올리브영 강남점,64283,주말 장보기,쇼핑
롯데시네마 월드타워,21794,카페라떼,여가/취미
버거킹 강남점,22861,티켓 구매,식비
쿠팡,61784,저녁 배달,쇼핑
bhc치킨 대치점,140528,영화 관람,식비
GS25 강남역점,26685,택시요금,편의점
카카오택시,98357,편의점 간식,교통
현대백화점 무역센터점,45315,지하철 요금,쇼핑
설빙 신촌점,61303,치킨 세트,카페
파파존스 강남점,77674,영화 관람,식비
세븐일레븐 홍대점,59998,주말 장보기,편의점
세븐일레븐 홍대점,38911,생활용품 구매,편의점
롯데시네마 월드타워,144274,주말 장보기,여가/취미
메가박스 강남,52778,택시요금,여가/취미
맘스터치 사당점,130790,스낵 구입,식비
쿠팡,4662,치킨 세트,쇼핑
ABC마트 강남점,119649,편의점 간식,쇼핑
스타벅스 강남역점,27020,화장품 구매,카페
CGV 압구정,17186,점심 식사,여가/취미
메가박스 강남,55717,식재료 구매,여가/취미
이디야커피 잠실점,40049,저녁 배달,카페
GS칼텍스 강남대로점,36225,도서 구매,교통
BBQ치킨 역삼점,32191,카페라떼,식비
쿠팡이츠,59492,저녁 배달,식비
스타벅스 강남역점,100440,주유,카페
하나로마트 양재,5195,점심 식사,마트
쿠팡,130817,편의점 간식,쇼핑
던킨도너츠 강남역,128025,치킨 세트,카페
배민1,78237,편의점 간식,식비
bhc치킨 대치점,125366,저녁 배달,식비
스타벅스 강남역점,116166,화장품 구매,카페
하이패스,50134,화장품 구매,교통
버거킹 강남점,94793,스낵 구입,식비
하이패스,121417,옷 구매,교통
다이소 신촌점,133773,아메리카노,생활
현대백화점 무역센터점,1582,치킨 세트,쇼핑
미스터피자 홍대점,11260,편의점 간식,식비
메가커피 신촌점,91451,옷 구매,카페
카카오택시,31318,주말 장보기,교통
쿠팡이츠,127471,카페라떼,식비
하이패스,10990,지하철 요금,교통
요기요,62961,지하철 요금,식비
카카오택시,37926,화장품 구매,교통
이디야커피 잠실점,32084,치킨 세트,카페
G마켓,138318,생활용품 구매,쇼핑
던킨도너츠 강남역,105031,영화 관람,카페
교촌치킨 서초점,119927,화장품 구매,식비
파파존스 강남점,58370,화장품 구매,식비
BBQ치킨 역삼점,16473,저녁 배달,식비
ABC마트 강남점,4680,지하철 요금,쇼핑
카카오택시,66733,생활용품 구매,교통
배민1,97453,스낵 구입,식비
맥도날드 신림점,35053,저녁 배달,식비
코스트코 양재점,113661,치킨 세트,마트
파파존스 강남점,137152,지하철 요금,식비
롯데시네마 월드타워,90299,옷 구매,여가/취미
G마켓,30982,영화 관람,쇼핑
배민1,131520,생활용품 구매,식비
서울교통공사,105320,옷 구매,교통
롯데시네마 월드타워,65139,카페라떼,여가/취미
쿠팡이츠,124704,스낵 구입,식비
11번가,133518,영화 관람,쇼핑
GS칼텍스 강남대로점,113855,점심 식사,교통
배민1,52816,카페라떼,식비
현대백화점 무역센터점,119507,주유,쇼핑
스타벅스 강남역점,98630,옷 구매,카페
올리브영 강남점,5486,스낵 구입,쇼핑
하나로마트 양재,147275,치킨 세트,마트
메가박스 강남,34367,주말 장보기,여가/취미
현대백화점 무역센터점,27388,저녁 배달,쇼핑
코스트코 양재점,16673,스낵 구입,마트
메가박스 강남,31171,옷 구매,여가/취미
CGV 압구정,114438,아메리카노,여가/취미
교보문고 광화문점,28559,택시요금,여가/취미
카카오택시,73050,주유,교통
파파존스 강남점,23984,아메리카노,식비
투썸플레이스 홍대점,101685,스낵 구입,카페
던킨도너츠 강남역,18233,저녁 배달,카페
CGV 압구정,48721,스낵 구입,여가/취미
ABC마트 강남점,142290,식재료 구매,쇼핑
쿠팡이츠,87458,점심 식사,식비
하나로마트 양재,20627,치킨 세트,마트
투썸플레이스 홍대점,70852,저녁 배달,카페
T맵택시,101231,옷 구매,교통
세븐일레븐 홍대점,2133,스낵 구입,편의점
파파존스 강남점,140524,카페라떼,식비
파파존스 강남점,84536,주유,식비
롯데백화점 본점,73388,지하철 요금,쇼핑
코스트코 양재점,97296,지하철 요금,마트
하나로마트 양재,82198,옷 구매,마트
서울교통공사,79609,카페라떼,교통
롯데시네마 월드타워,19547,화장품 구매,여가/취미
BBQ치킨 역삼점,112386,점심 식사,식비
투썸플레이스 홍대점,76963,지하철 요금,카페
하이패스,76846,영화 관람,교통
파파존스 강남점,99261,옷 구매,식비
CU 신림점,26124,생활용품 구매,편의점
bhc치킨 대치점,138387,티켓 구매,식비
YES24,76740,옷 구매,여가/취미
GS칼텍스 강남대로점,88463,점심 식사,교통
올리브영 강남점,63741,옷 구매,쇼핑
SK주유소 방배점,142607,점심 식사,교통
설빙 신촌점,21980,생활용품 구매,카페
던킨도너츠 강남역,20812,도서 구매,카페
올리브영 강남점,61685,아메리카노,쇼핑
배민1,93041,생활용품 구매,식비
스타벅스 강남역점,33243,주유,카페
카카오택시,2535,아메리카노,교통
하이패스,128845,티켓 구매,교통
이마트 용산점,16994,편의점 간식,마트
메가박스 강남,103375,화장품 구매,여가/취미
카페베네 종로점,29929,주유,카페
이마트 용산점,103101,화장품 구매,마트
교촌치킨 서초점,66264,주말 장보기,식비
맘스터치 사당점,140285,택시요금,식비
카페베네 종로점,117532,옷 구매,카페
CU 신림점,11834,카페라떼,편의점
배민1,118502,카페라떼,식비
버거킹 강남점,82345,옷 구매,식비
다이소 신촌점,52012,식재료 구매,생활
CGV 압구정,9058,주말 장보기,여가/취미
요기요,68799,생활용품 구매,식비
쿠팡이츠,40792,편의점 간식,식비
ABC마트 강남점,95862,도서 구매,쇼핑
T맵택시,94311,점심 식사,교통
투썸플레이스 홍대점,120072,옷 구매,카페
서울교통공사,86984,식재료 구매,교통
YES24,120873,카페라떼,여가/취미
이디야커피 잠실점,38714,카페라떼,카페
카페베네 종로점,32667,옷 구매,카페
쿠팡,139111,점심 식사,쇼핑
메가커피 신촌점,90831,옷 구매,카페
스타벅스 강남역점,84422,편의점 간식,카페
스타벅스 강남역점,42462,화장품 구매,카페
11번가,59531,편의점 간식,쇼핑
YES24,107866,지하철 요금,여가/취미
하나로마트 양재,17343,점심 식사,마트
T맵택시,94948,지하철 요금,교통
요기요,110484,영화 관람,식비
알라딘 중고서점 홍대,62404,점심 식사,여가/취미
메가박스 강남,33263,편의점 간식,여가/취미
세븐일레븐 홍대점,110425,스낵 구입,편의점
배민1,133340,생활용품 구매,식비
G마켓,38950,화장품 구매,쇼핑
롯데시네마 월드타워,114418,화장품 구매,여가/취미
쿠팡,54012,화장품 구매,쇼핑
롯데백화점 본점,38395,저녁 배달,쇼핑
이디야커피 잠실점,132980,주유,카페
롯데백화점 본점,50187,택시요금,쇼핑
파파존스 강남점,118578,편의점 간식,식비
버거킹 강남점,107890,치킨 세트,식비
메가박스 강남,58272,스낵 구입,여가/취미
SK주유소 방배점,5985,지하철 요금,교통
맥도날드 신림점,121971,화장품 구매,식비
카카오택시,75932,옷 구매,교통
G마켓,28252,점심 식사,쇼핑
요기요,52569,저녁 배달,식비
미스터피자 홍대점,117344,주말 장보기,식비
이마트 용산점,97832,영화 관람,마트
카카오택시,27774,식재료 구매,교통
CGV 압구정,4276,아메리카노,여가/취미
bhc치킨 대치점,138461,도서 구매,식비
맥도날드 신림점,135738,주말 장보기,식비
G마켓,93983,저녁 배달,쇼핑
홈플러스 강서점,50486,치킨 세트,마트
알라딘 중고서점 홍대,113835,주유,여가/취미
카페베네 종로점,106727,주유,카페
투썸플레이스 홍대점,35699,옷 구매,카페
카카오택시,141212,티켓 구매,교통
현대백화점 무역센터점,19767,주말 장보기,쇼핑
맘스터치 사당점,38020,주말 장보기,식비
쿠팡이츠,105575,도서 구매,식비
메가커피 신촌점,97774,점심 식사,카페
맘스터치 사당점,106947,식재료 구매,식비
교보문고 광화문점,101015,치킨 세트,여가/취미
맘스터치 사당점,6787,지하철 요금,식비
스타벅스 강남역점,57620,점심 식사,카페
롯데백화점 본점,145642,영화 관람,쇼핑
스타벅스 강남역점,133400,도서 구매,카페
코스트코 양재점,12336,편의점 간식,마트
알라딘 중고서점 홍대,136578,도서 구매,여가/취미
투썸플레이스 홍대점,126023,화장품 구매,카페
올리브영 강남점,43426,옷 구매,쇼핑
교촌치킨 서초점,50616,영화 관람,식비
메가커피 신촌점,104286,치킨 세트,카페
던킨도너츠 강남역,124283,주유,카페
파파존스 강남점,118681,스낵 구입,식비
쿠팡,86642,주말 장보기,쇼핑
CGV 압구정,99263,카페라떼,여가/취미
하이패스,126827,화장품 구매,교통
설빙 신촌점,38853,카페라떼,카페
메가커피 신촌점,123751,택시요금,카페
현대백화점 무역센터점,133083,스낵 구입,쇼핑
배민1,142054,주유,식비
CGV 압구정,138371,티켓 구매,여가/취미
롯데백화점 본점,133276,식재료 구매,쇼핑
서울교통공사,30511,스낵 구입,교통
메가박스 강남,63739,영화 관람,여가/취미
설빙 신촌점,14691,주말 장보기,카페
G마켓,42558,아메리카노,쇼핑
메가커피 신촌점,107799,영화 관람,카페
코스트코 양재점,144074,주말 장보기,마트
메가박스 강남,87751,택시요금,여가/취미
맘스터치 사당점,1339,점심 식사,식비
올리브영 강남점,109848,치킨 세트,쇼핑
GS25 강남역점,108678,생활용품 구매,편의점
카페베네 종로점,135010,스낵 구입,카페
서울교통공사,26368,지하철 요금,교통
T맵택시,113514,스낵 구입,교통
파파존스 강남점,49031,저녁 배달,식비
하나로마트 양재,147264,지하철 요금,마트
G마켓,18807,티켓 구매,쇼핑
롯데시네마 월드타워,38558,편의점 간식,여가/취미
던킨도너츠 강남역,135092,영화 관람,카페
배민1,124733,도서 구매,식비
홈플러스 강서점,78083,주말 장보기,마트
교보문고 광화문점,42657,도서 구매,여가/취미
이마트 용산점,118563,저녁 배달,마트
다이소 신촌점,45913,생활용품 구매,생활
올리브영 강남점,94872,편의점 간식,쇼핑
교촌치킨 서초점,65730,택시요금,식비
미스터피자 홍대점,138837,저녁 배달,식비
이마트 용산점,5748,생활용품 구매,마트
카페베네 종로점,127837,옷 구매,카페
11번가,96420,아메리카노,쇼핑
쿠팡,45482,점심 식사,쇼핑
스타벅스 강남역점,144666,티켓 구매,카페
BBQ치킨 역삼점,8112,저녁 배달,식비
올리브영 강남점,137820,주말 장보기,쇼핑
롯데백화점 본점,27975,식재료 구매,쇼핑
교보문고 광화문점,23463,식재료 구매,여가/취미
카페베네 종로점,48068,점심 식사,카페
이디야커피 잠실점,104773,주유,카페
파파존스 강남점,28026,아메리카노,식비
홈플러스 강서점,90293,주말 장보기,마트
YES24,111285,주말 장보기,여가/취미
세븐일레븐 홍대점,120073,식재료 구매,편의점
이디야커피 잠실점,30936,티켓 구매,카페
맥도날드 신림점,65556,생활용품 구매,식비
YES24,51782,화장품 구매,여가/취미
스타벅스 강남역점,74193,편의점 간식,카페
스타벅스 강남역점,55382,아메리카노,카페
교보문고 광화문점,14092,점심 식사,여가/취미
카카오택시,67270,지하철 요금,교통
SK주유소 방배점,91856,카페라떼,교통
현대백화점 무역센터점,69314,점심 식사,쇼핑
코스트코 양재점,78463,택시요금,마트
메가박스 강남,96642,저녁 배달,여가/취미
배민1,147552,카페라떼,식비
쿠팡이츠,118587,카페라떼,식비
SK주유소 방배점,21901,주유,교통
SK주유소 방배점,135221,편의점 간식,교통
현대백화점 무역센터점,136085,카페라떼,쇼핑
스타벅스 강남역점,134874,식재료 구매,카페
투썸플레이스 홍대점,24128,도서 구매,카페
홈플러스 강서점,137080,식재료 구매,마트
SK주유소 방배점,65197,스낵 구입,교통
맥도날드 신림점,82182,점심 식사,식비
G마켓,60120,카페라떼,쇼핑
CGV 압구정,20503,도서 구매,여가/취미
카카오택시,118254,편의점 간식,교통
던킨도너츠 강남역,141072,택시요금,카페
던킨도너츠 강남역,87040,생활용품 구매,카페
롯데시네마 월드타워,131460,택시요금,여가/취미
요기요,14033,영화 관람,식비
CGV 압구정,55445,주유,여가/취미
이디야커피 잠실점,91270,화장품 구매,카페
하이패스,39257,화장품 구매,교통
올리브영 강남점,21336,편의점 간식,쇼핑
GS칼텍스 강남대로점,117558,택시요금,교통
요기요,85707,생활용품 구매,식비
코스트코 양재점,114944,주유,마트
스타벅스 강남역점,68073,스낵 구입,카페
쿠팡,5650,카페라떼,쇼핑
하이패스,128555,스낵 구입,교통
버거킹 강남점,62310,도서 구매,식비
투썸플레이스 홍대점,92902,카페라떼,카페
쿠팡,56454,치킨 세트,쇼핑
롯데백화점 본점,124227,영화 관람,쇼핑
카페베네 종로점,43122,화장품 구매,카페
CGV 압구정,98692,택시요금,여가/취미
맥도날드 신림점,89286,저녁 배달,식비
버거킹 강남점,116580,저녁 배달,식비
G마켓,36324,편의점 간식,쇼핑
배민1,60383,치킨 세트,식비
요기요,92255,아메리카노,식비
롯데백화점 본점,64483,티켓 구매,쇼핑
설빙 신촌점,84265,티켓 구매,카페
올리브영 강남점,147018,지하철 요금,쇼핑
하이패스,44921,식재료 구매,교통
다이소 신촌점,109252,저녁 배달,생활
이디야커피 잠실점,133446,아메리카노,카페
하나로마트 양재,86974,주유,마트
쿠팡,37487,아메리카노,쇼핑
카페베네 종로점,15989,화장품 구매,카페
GS칼텍스 강남대로점,24022,지하철 요금,교통
교촌치킨 서초점,144386,지하철 요금,식비
현대백화점 무역센터점,17682,화장품 구매,쇼핑
SK주유소 방배점,64314,편의점 간식,교통
CGV 압구정,104863,식재료 구매,여가/취미
G마켓,74916,카페라떼,쇼핑
하이패스,25096,점심 식사,교통
코스트코 양재점,78929,생활용품 구매,마트
SK주유소 방배점,40834,화장품 구매,교통
배민1,109271,식재료 구매,식비
롯데시네마 월드타워,136020,생활용품 구매,여가/취미
세븐일레븐 홍대점,127571,옷 구매,편의점
GS칼텍스 강남대로점,42696,지하철 요금,교통
설빙 신촌점,35124,저녁 배달,카페
메가커피 신촌점,36711,옷 구매,카페
다이소 신촌점,9292,도서 구매,생활
배민1,59050,지하철 요금,식비
이디야커피 잠실점,64472,도서 구매,카페
코스트코 양재점,123686,영화 관람,마트
ABC마트 강남점,4001,도서 구매,쇼핑
스타벅스 강남역점,117865,편의점 간식,카페
카페베네 종로점,91407,지하철 요금,카페
이마트 용산점,54942,옷 구매,마트
현대백화점 무역센터점,71782,도서 구매,쇼핑
롯데백화점 본점,120510,편의점 간식,쇼핑
홈플러스 강서점,37221,아메리카노,마트
하이패스,115931,저녁 배달,교통
서울교통공사,133304,아메리카노,교통
하나로마트 양재,2934,지하철 요금,마트
YES24,137288,주말 장보기,여가/취미
알라딘 중고서점 홍대,25316,주말 장보기,여가/취미
세븐일레븐 홍대점,86359,영화 관람,편의점
BBQ치킨 역삼점,41864,주말 장보기,식비
알라딘 중고서점 홍대,84149,티켓 구매,여가/취미
롯데시네마 월드타워,135488,화장품 구매,여가/취미
하나로마트 양재,86633,택시요금,마트
bhc치킨 대치점,20645,아메리카노,식비
ABC마트 강남점,93007,영화 관람,쇼핑
쿠팡,8310,도서 구매,쇼핑
다이소 신촌점,3819,옷 구매,생활
YES24,99408,지하철 요금,여가/취미
카카오택시,32940,스낵 구입,교통
올리브영 강남점,61244,편의점 간식,쇼핑
SK주유소 방배점,41254,생활용품 구매,교통
파파존스 강남점,122437,옷 구매,식비
이디야커피 잠실점,36527,택시요금,카페
현대백화점 무역센터점,109255,스낵 구입,쇼핑
던킨도너츠 강남역,90244,치킨 세트,카페
롯데백화점 본점,60174,택시요금,쇼핑
쿠팡,77152,편의점 간식,쇼핑
G마켓,23053,카페라떼,쇼핑
GS25 강남역점,71706,치킨 세트,편의점
하나로마트 양재,42917,점심 식사,마트
하이패스,75659,지하철 요금,교통
이마트 용산점,128367,치킨 세트,마트
쿠팡이츠,106132,점심 식사,식비
BBQ치킨 역삼점,69350,점심 식사,식비
GS칼텍스 강남대로점,14381,티켓 구매,교통
교보문고 광화문점,122691,도서 구매,여가/취미
카페베네 종로점,23993,지하철 요금,카페
맘스터치 사당점,10871,카페라떼,식비
스타벅스 강남역점,93348,아메리카노,카페
롯데백화점 본점,48610,지하철 요금,쇼핑
롯데시네마 월드타워,80219,화장품 구매,여가/취미
이마트 용산점,129784,주말 장보기,마트
버거킹 강남점,99870,아메리카노,식비
교촌치킨 서초점,102550,주말 장보기,식비
던킨도너츠 강남역,146972,옷 구매,카페
이디야커피 잠실점,67469,식재료 구매,카페
설빙 신촌점,23704,영화 관람,카페
파파존스 강남점,134064,티켓 구매,식비
세븐일레븐 홍대점,83617,도서 구매,편의점
세븐일레븐 홍대점,21368,도서 구매,편의점
메가박스 강남,115220,스낵 구입,여가/취미
버거킹 강남점,108436,식재료 구매,식비
다이소 신촌점,76623,식재료 구매,생활
메가박스 강남,84272,티켓 구매,여가/취미
스타벅스 강남역점,71049,티켓 구매,카페
교촌치킨 서초점,32245,옷 구매,식비
서울교통공사,4317,스낵 구입,교통
요기요,129360,택시요금,식비
ABC마트 강남점,14126,영화 관람,쇼핑
파파존스 강남점,76465,도서 구매,식비
CU 신림점,142719,도서 구매,편의점
롯데시네마 월드타워,30095,식재료 구매,여가/취미
카페베네 종로점,32820,편의점 간식,카페
설빙 신촌점,5175,생활용품 구매,카페
SK주유소 방배점,60523,주유,교통
미스터피자 홍대점,89931,생활용품 구매,식비
GS25 강남역점,110946,택시요금,편의점
GS25 강남역점,88208,아메리카노,편의점
T맵택시,20810,저녁 배달,교통
알라딘 중고서점 홍대,54324,스낵 구입,여가/취미
코스트코 양재점,97873,택시요금,마트
알라딘 중고서점 홍대,33209,카페라떼,여가/취미
투썸플레이스 홍대점,78661,영화 관람,카페
T맵택시,85382,식재료 구매,교통
메가박스 강남,42547,식재료 구매,여가/취미
맘스터치 사당점,133678,치킨 세트,식비
11번가,9635,지하철 요금,쇼핑
올리브영 강남점,97593,주말 장보기,쇼핑
카페베네 종로점,145148,택시요금,카페
BBQ치킨 역삼점,70663,아메리카노,식비
서울교통공사,121443,택시요금,교통
던킨도너츠 강남역,39356,치킨 세트,카페
이마트 용산점,19904,저녁 배달,마트
쿠팡,66502,식재료 구매,쇼핑
홈플러스 강서점,135639,점심 식사,마트
쿠팡,118020,옷 구매,쇼핑
던킨도너츠 강남역,9458,점심 식사,카페
서울교통공사,50931,지하철 요금,교통
현대백화점 무역센터점,15790,식재료 구매,쇼핑
메가커피 신촌점,70115,지하철 요금,카페
스타벅스 강남역점,127060,아메리카노,카페
T맵택시,53624,치킨 세트,교통
버거킹 강남점,122393,치킨 세트,식비
요기요,24591,지하철 요금,식비
CU 신림점,60476,식재료 구매,편의점
메가커피 신촌점,105905,치킨 세트,카페
GS칼텍스 강남대로점,104845,화장품 구매,교통
교촌치킨 서초점,25679,옷 구매,식비
이디야커피 잠실점,49715,치킨 세트,카페
카페베네 종로점,15082,지하철 요금,카페
SK주유소 방배점,47814,영화 관람,교통
현대백화점 무역센터점,105922,점심 식사,쇼핑
메가박스 강남,46694,택시요금,여가/취미
이디야커피 잠실점,126352,식재료 구매,카페
맘스터치 사당점,115803,아메리카노,식비
세븐일레븐 홍대점,18438,택시요금,편의점
BBQ치킨 역삼점,146860,지하철 요금,식비
세븐일레븐 홍대점,96509,영화 관람,편의점
롯데시네마 월드타워,63128,옷 구매,여가/취미
G마켓,83919,도서 구매,쇼핑
홈플러스 강서점,21511,택시요금,마트
CGV 압구정,89161,티켓 구매,여가/취미
롯데시네마 월드타워,96460,택시요금,여가/취미
쿠팡이츠,50396,주말 장보기,식비
스타벅스 강남역점,140767,스낵 구입,카페
G마켓,22258,치킨 세트,쇼핑
쿠팡,7435,주말 장보기,쇼핑
메가박스 강남,23418,도서 구매,여가/취미
현대백화점 무역센터점,77400,주유,쇼핑
이디야커피 잠실점,8485,카페라떼,카페
ABC마트 강남점,86825,생활용품 구매,쇼핑
YES24,125482,주말 장보기,여가/취미
배민1,20637,영화 관람,식비
쿠팡,117321,편의점 간식,쇼핑
쿠팡이츠,111556,영화 관람,식비
카페베네 종로점,98587,생활용품 구매,카페
CU 신림점,35227,아메리카노,편의점
YES24,5659,치킨 세트,여가/취미
메가박스 강남,12514,저녁 배달,여가/취미
서울교통공사,37247,생활용품 구매,교통
GS칼텍스 강남대로점,52948,지하철 요금,교통
롯데시네마 월드타워,76243,지하철 요금,여가/취미
이디야커피 잠실점,6454,주유,카페
GS칼텍스 강남대로점,48435,카페라떼,교통
롯데시네마 월드타워,28571,주말 장보기,여가/취미
배민1,142316,티켓 구매,식비
설빙 신촌점,141222,택시요금,카페
다이소 신촌점,48127,지하철 요금,생활
이디야커피 잠실점,121872,티켓 구매,카페
ABC마트 강남점,1229,옷 구매,쇼핑
배민1,82708,카페라떼,식비
홈플러스 강서점,125368,지하철 요금,마트
GS칼텍스 강남대로점,83720,식재료 구매,교통
BBQ치킨 역삼점,93782,치킨 세트,식비
쿠팡,99600,아메리카노,쇼핑
G마켓,17660,카페라떼,쇼핑
이마트 용산점,19081,아메리카노,마트
던킨도너츠 강남역,98215,화장품 구매,카페
bhc치킨 대치점,140410,저녁 배달,식비
홈플러스 강서점,101320,카페라떼,마트
SK주유소 방배점,19343,식재료 구매,교통
던킨도너츠 강남역,67363,옷 구매,카페
요기요,66435,생활용품 구매,식비
G마켓,9314,도서 구매,쇼핑
서울교통공사,8361,생활용품 구매,교통
롯데백화점 본점,56295,주말 장보기,쇼핑
설빙 신촌점,130778,카페라떼,카페
롯데시네마 월드타워,132427,화장품 구매,여가/취미
롯데백화점 본점,7925,카페라떼,쇼핑
코스트코 양재점,53479,아메리카노,마트
던킨도너츠 강남역,14750,저녁 배달,카페
미스터피자 홍대점,28062,아메리카노,식비
설빙 신촌점,117306,점심 식사,카페
ABC마트 강남점,101404,식재료 구매,쇼핑
다이소 신촌점,47236,아메리카노,생활
맘스터치 사당점,89039,영화 관람,식비
메가커피 신촌점,11849,티켓 구매,카페
홈플러스 강서점,25393,택시요금,마트
메가커피 신촌점,66390,카페라떼,카페
BBQ치킨 역삼점,126757,점심 식사,식비
교보문고 광화문점,115791,스낵 구입,여가/취미
요기요,10315,티켓 구매,식비
카페베네 종로점,11499,치킨 세트,카페
미스터피자 홍대점,96558,점심 식사,식비
투썸플레이스 홍대점,148180,스낵 구입,카페
투썸플레이스 홍대점,86030,택시요금,카페
이마트 용산점,64773,치킨 세트,마트
GS칼텍스 강남대로점,97795,치킨 세트,교통
미스터피자 홍대점,149914,티켓 구매,식비
교촌치킨 서초점,33681,식재료 구매,식비
투썸플레이스 홍대점,127546,영화 관람,카페
현대백화점 무역센터점,92002,식재료 구매,쇼핑
GS칼텍스 강남대로점,8289,카페라떼,교통
메가박스 강남,3555,주유,여가/취미
홈플러스 강서점,106260,치킨 세트,마트
롯데시네마 월드타워,115733,생활용품 구매,여가/취미
맥도날드 신림점,15085,생활용품 구매,식비
요기요,148549,아메리카노,식비
CGV 압구정,31805,식재료 구매,여가/취미
다이소 신촌점,45814,아메리카노,생활
교보문고 광화문점,42609,아메리카노,여가/취미
롯데백화점 본점,97313,영화 관람,쇼핑
T맵택시,7690,지하철 요금,교통
맥도날드 신림점,14111,주말 장보기,식비
설빙 신촌점,1943,도서 구매,카페
요기요,97319,편의점 간식,식비
GS칼텍스 강남대로점,25162,영화 관람,교통
하이패스,144968,옷 구매,교통
교촌치킨 서초점,42541,티켓 구매,식비
코스트코 양재점,12538,옷 구매,마트
코스트코 양재점,119889,주유,마트
메가박스 강남,10809,티켓 구매,여가/취미
하이패스,132770,택시요금,교통
미스터피자 홍대점,15272,식재료 구매,식비
알라딘 중고서점 홍대,3315,옷 구매,여가/취미
GS칼텍스 강남대로점,79170,주말 장보기,교통
맘스터치 사당점,1511,주유,식비
